FIPS,name,Year,lng,lat,PM2.5,CMR,population_2000,civil_unemploy,median_HH_inc,femaleHH_ns_pct,vacant_HHunit,owner_occ_pct,eduattain_HS,pctfam_pover
47125,Montgomery,2000.0,-87.38247263,36.49650951,8.799999741934926,364.5071236152446,134768.0,5.642857142857143,37991.28571428572,13.454879562857142,8.016160011714286,62.38571428571428,44.44285714285714,9.583836894285716
47131,Obion,2000.0,-89.1487146,36.35824874,8.588698145457736,428.40276624544924,32450.0,5.114285714285715,31723.714285714286,12.406720591428572,8.968243987428572,70.3,48.01428571428571,10.718585148571428
47137,Pickett,2000.0,-85.07476517,36.55818853,7.671649015477158,434.95720900879235,4945.0,4.685714285714286,23484.428571428572,9.31621912,29.079405237142858,82.1,42.68571428571428,15.107890665714287
47139,Polk,2000.0,-84.52298798,35.11993556,8.20366308269802,384.7202145693417,16050.0,7.057142857142857,28615.571428571428,10.041895262857143,12.991268017142856,80.94285714285714,41.74285714285715,12.588834277142858
47141,Putnam,2000.0,-85.49633518,36.14080321,7.753840777263383,385.3925777525228,62315.0,5.242857142857143,29499.714285714286,11.220041242857143,8.134151108285714,64.91428571428571,41.9,12.172044642857143
47143,Rhea,2000.0,-84.92418399,35.60911854,8.171715126557833,377.5640162680579,28400.0,7.6571428571428575,29229.428571428572,12.936067082857143,12.100073077142858,73.92857142857143,41.31428571428572,13.460386631428573
47145,Roane,2000.0,-84.52335538,35.84762955,8.3657230922618,358.3184951919626,51910.0,6.142857142857143,33356.28571428572,11.188420665714286,10.343004679142856,76.57142857142857,44.785714285714285,10.89949174
47147,Robertson,2000.0,-86.87047841,36.52536378,9.07323034902781,425.4065981049432,54433.0,4.5,41219.42857142857,11.894622725714285,6.131129188000001,75.78571428571429,47.05714285714286,7.894628074571428
47149,Rutherford,2000.0,-86.41692683,35.84260355,8.946914811775928,367.42817150384536,182023.0,5.0285714285714285,44033.142857142855,12.366098594285715,6.656816585142857,68.22857142857143,43.68571428571429,7.171739080857143
47155,Sevier,2000.0,-83.52376973,35.78475751,7.917688233479388,366.1521586776003,71170.0,6.385714285714285,33313.28571428572,11.093954768571429,26.12153084,72.74285714285715,44.62857142857143,9.394427854285714
47157,Shelby,2000.0,-89.89620223,35.18412715,8.894194337216113,414.2172869406184,897472.0,6.1571428571428575,37493.28571428572,22.413178834285716,8.425790604857143,61.3,40.68571428571428,14.116547548571429
47163,Sullivan,2000.0,-82.30419555,36.51291546,8.045287539798796,347.8493520172992,153048.0,4.5285714285714285,32954.142857142855,11.41336505142857,8.149515624571428,74.72857142857143,42.94285714285714,10.60643308
47165,Sumner,2000.0,-86.46074089,36.46938867,9.085635555187206,366.7023159336398,130449.0,4.757142857142857,44501.71428571428,11.403562837142857,6.565240499714285,74.94285714285714,43.214285714285715,6.738959031428571
47167,Tipton,2000.0,-89.75925274,35.49692909,8.426645636311767,410.81942507192645,51271.0,5.9,38863.42857142857,15.358965682857145,6.193392692285714,74.44285714285714,44.357142857142854,12.920753485714286
47169,Trousdale,2000.0,-86.15630295,36.39236244,8.648902329693286,374.9935741180561,7259.0,4.828571428571429,32185.714285714286,12.457850894285714,10.793997408571428,75.71428571428571,41.42857142857143,9.870475094285714
47173,Union,2000.0,-83.83725225,36.28814616,8.575440754739907,383.37533998170494,17808.0,4.942857142857143,25925.85714285714,11.250128828571428,15.175120385714287,79.71428571428571,40.18571428571428,18.00674872
47175,Van Buren,2000.0,-85.45359622,35.6961661,7.487455212233067,404.7901866841195,5508.0,6.857142857142857,26288.714285714286,11.798405039999999,12.12712929142857,84.1,47.48571428571429,16.332404662857144
47177,Warren,2000.0,-85.77914118,35.67900378,7.726597436473394,394.52588683753623,38276.0,5.671428571428571,29241.428571428572,12.462076865714286,9.349146086571428,72.2,45.58571428571428,14.289935097142855
47179,Washington,2000.0,-82.49711101,36.293414,7.551791191948539,350.34396851915466,107198.0,4.628571428571429,32750.85714285714,11.833567908571428,8.087845715142857,67.4,40.48571428571429,10.936429948571428
47183,Weakley,2000.0,-88.71817942,36.29822836,8.392143875304024,357.1152517186375,34895.0,6.114285714285715,28106.85714285714,10.907900471428572,8.679386437714285,68.42857142857143,43.05714285714286,12.21388667142857
47187,Williamson,2000.0,-86.89830897,35.89405608,8.792261184725565,299.1355037389327,126638.0,2.9285714285714284,67172.28571428571,8.441912019428571,5.4763299462857145,80.84285714285714,36.97142857142857,3.8040081868571427
